"ID_SERIE","NOMBRE","LINK","DESCRIPCION","SERIES"
"1","Romance Anime","https://myanimelist.net/anime/genre/22/Romance","Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.
Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. ""Teasing"" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.
A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.","2033"
"1","Otaku Culture Anime","https://myanimelist.net/anime/genre/69/Otaku_Culture","Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.
Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.","92"
"1","School Anime","https://myanimelist.net/anime/genre/23/School","","2001"
"1","Seinen Anime","https://myanimelist.net/anime/genre/42/Seinen","","990"
"2","Romance Anime","https://myanimelist.net/anime/genre/22/Romance","Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.
Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. ""Teasing"" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.
A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.","2033"
"2","Adult Cast Anime","https://myanimelist.net/anime/genre/50/Adult_Cast","","556"
"2","Otaku Culture Anime","https://myanimelist.net/anime/genre/69/Otaku_Culture","Otaku is a term in used in modern Japan to refer to people with obsessive interests. Outside of Japan, it specifically denotes people who have a heavy interest in anime, manga, and other Japanese culture or entertainment. Otaku Culture themed stories have a plot which is related to the hobbies or occupation of a main cast who are heavily involved in anime-related media. Characters could be creating anime or manga (professionally or casually with friends), attending conventions or idol concerts, dressing up in cosplay, etc.
Please note stories focusing on seiyuu (voice acting) fall under the Showbiz theme due to their celebrity status.","92"
"2","Workplace Anime","https://myanimelist.net/anime/genre/48/Workplace","","180"
"3","Comedy Anime","https://myanimelist.net/anime/genre/4/Comedy","Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.
Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.","7172"
"3","Romance Anime","https://myanimelist.net/anime/genre/22/Romance","Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.
Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. ""Teasing"" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.
A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.","2033"
